,lstmTemp
device1,40.22673773765564
device10,26.39865207672119
device11,26.82611083984375
device3,63.53480315208435
device4,44.38014030456543
device5,51.462459087371826
device6,43.861064434051514
device7,48.7420768737793
device9,31.52091145515442
