,RunningAvg_1P,RunningAvg_6P,RunningAvg_12P,RunningAvg_36P,RunningAvg_72P,RunningAvg_144P,RunningAvg_288P,MovingAvg144_1P,MovingAvg144_6P,MovingAvg144_12P,MovingAvg144_36P,MovingAvg144_72P,MovingAvg144_144P,MovingAvg144_288P,MovingAvg72_1P,MovingAvg72_6P,MovingAvg72_12P,MovingAvg72_36P,MovingAvg72_72P,MovingAvg72_144P,MovingAvg72_288P,Naive_1P,Naive_6P,Naive_12P,Naive_36P,Naive_72P,Naive_144P,Naive_288P,Drift12_1P,Drift12_6P,Drift12_12P,Drift12_36P,Drift12_72P,Drift12_144P,Drift12_288P,Drift12_mean30_1P,Drift12_mean30_6P,Drift12_mean30_12P,Drift12_mean30_36P,Drift12_mean30_72P,Drift12_mean30_144P,Drift12_mean30_288P,Drift6_1P,Drift6_6P,Drift6_12P,Drift6_36P,Drift6_72P,Drift6_144P,Drift6_288P,Drift6_mean30_1P,Drift6_mean30_6P,Drift6_mean30_12P,Drift6_mean30_36P,Drift6_mean30_72P,Drift6_mean30_144P,Drift6_mean30_288P,Drift1_1P,Drift1_6P,Drift1_12P,Drift1_36P,Drift1_72P,Drift1_144P,Drift1_288P,Drift1_mean30_1P,Drift1_mean30_6P,Drift1_mean30_12P,Drift1_mean30_36P,Drift1_mean30_72P,Drift1_mean30_144P,Drift1_mean30_288P
device1,18.195634175935215,18.210979066169507,18.227434555515206,18.27284651459707,18.309608560576113,18.353475466873554,17.493890328469632,16.148752091575023,16.755634813327926,17.38266010931319,18.85002261688982,19.59264452259703,20.325939401715715,20.44868026080236,13.623327114732199,14.790280451772373,15.976859774292992,18.70168372220676,20.15308365175469,20.911306731484913,18.195212370572957,2.068817535450292,7.169320997645942,9.3949178902609,16.99028284805807,20.491081582727336,22.544352294052256,20.351740596585127,2.098970822907047,7.9210434983416205,10.579565687636775,17.48333006888705,23.615915422570858,30.29923627781518,28.128605197619308,2.1576821534477006,7.5909111524282,10.147795324770128,16.743464070211456,23.886142708748533,30.92539168116535,30.470648441128898,2.1704577163336314,8.08258243350638,10.430792215782704,17.166175953590585,23.23950237090104,31.43779475759516,27.42280742461262,2.189357937128771,7.325045686336441,10.250256234080059,16.66695793677962,24.538889336197588,31.05779929788218,29.49422487769314,1.8637517151879182,8.20626776298759,11.564811389299978,17.62850716745353,24.450415377931556,29.042343463582185,27.65068200599942,2.238466662477663,7.597900877990378,12.063965249343628,18.045554269775582,24.79115515325508,30.101028232655104,28.362349936881717
device3,8.72300385606988,8.727940538031215,8.733641296742041,8.75401130542145,8.777318138737355,8.798904540460793,8.998616019438428,5.707265572196793,6.064518794959348,6.482345682383803,8.062149214862423,9.88679628266196,12.09800778182178,16.377285827150384,3.1278213693141286,3.4968300604047595,3.9391634289543567,5.745940534954724,8.365254522856462,11.824584143949352,16.171039110681363,0.5557867805825069,1.5141936317384685,1.6674679708312083,3.1699803885322138,5.815355087028711,10.791115050772255,15.708087190445344,0.5548459914065367,1.5521421028640896,1.576581710675245,2.73210382985015,4.620068058360945,10.321783968033994,26.307580550005696,0.560639906471642,1.5042410856318957,1.5551232950227662,2.0423944081074583,3.1635172803285614,6.7980656168871665,24.967057929306872,0.5569876535772534,1.6239118679329065,1.7374120972216345,3.4269569595607505,6.249275131442643,13.215785406932081,26.78766853398083,0.5627823821912278,1.5170448616749888,1.5533428244723368,2.0503902763431805,3.228258567053231,7.170543116200863,25.46815662947561,0.5458793526643758,1.7192867412943806,2.1834212502723935,5.044348351325954,9.687987676262248,18.176319678024786,24.77993995133208,0.5657278385717432,1.543697671401618,1.6161294586437513,2.2778021455732973,3.7356822726008447,8.61269209153685,28.441059313777448
device4,16.428110645708568,16.44084124626405,16.456896562722406,16.568008438084625,16.79043105173864,17.225517359167917,17.744159498158268,10.666550721142494,11.175851746284673,11.753994318373778,13.774125039314749,16.393098823581816,20.598116437591397,25.790874043761775,7.986088666329245,8.61326335795904,9.301731621870674,11.624694304214437,14.649777790193985,19.481104942951813,25.5000885969303,1.6954288458937394,5.665541095964289,6.912919283846307,11.041963593168015,13.04683159927934,18.595892825807987,25.06130242132525,1.7403999198716973,7.322390901700131,9.259355125601493,12.390510925969853,16.747124808587078,21.84804464447087,29.249064475562143,1.7288013289591435,7.245469866588302,9.026073448078735,12.615817862336307,20.81232161850597,21.063182941805177,30.563557871414,1.883622281274457,8.039217509140418,9.573693053968283,13.918443382664913,16.547405126744543,23.192366941179223,28.21225923762173,1.74886768821171,8.256478234596996,10.145916403048068,15.217120340472231,20.44510404091138,22.803432341432167,33.358413018182496,1.5452474849913431,7.873058038720387,9.96866093965504,15.273775159282478,18.926109498625003,23.454308920291563,27.87084562795161,1.7899638670113962,8.926579671228202,11.864582728791989,15.908708182051313,23.002255683685892,25.439622577454305,29.003940774613444
device5,10.494030744675602,10.33726126439968,10.147154026119475,9.916768640042353,9.93882804275625,9.97389429150306,7.824987915895426,8.259911625673514,8.564415294675758,8.902971723758048,10.364444685807209,12.052674055690614,11.680575476726077,13.546120552179758,6.156683561631443,6.601736918855698,7.042684788207657,8.913368314483348,11.44883575088207,14.531824847471453,13.859838154093149,1.8518100116581289,4.578119413922114,5.304995155401166,6.937317104472157,10.30744961019428,15.05752032281288,13.960807431463827,1.90427585125912,5.186980215573801,7.295586348871482,11.930177646408367,13.634032032032934,18.164847080749457,23.817818234930687,1.856161276535176,4.552448145818252,5.454167567248691,7.502923949708476,11.792171756895474,22.93989540630298,22.71954916167441,1.9697114801740137,5.909786202166705,8.984831727951262,13.02334435790325,14.576020916149965,17.85444497784999,26.380290633376436,1.867537486180751,4.688079260520934,5.974774728100362,9.904555235924422,16.747176210251247,23.791519090988906,23.286565162362354,1.958731924866519,8.1089981879052,12.040819572994897,12.870046297475229,13.487642976423453,20.953164178346704,27.29900052227539,1.9256229351829353,5.591285300405439,8.782677324706771,19.752828700585955,17.956692076834347,19.636862645624717,25.187195028522517
device6,13.918784908004511,13.93003407738683,13.943277706485578,13.99333333020889,14.059051885726872,14.259716532294103,14.612813681631506,7.575800602530323,8.025137493785206,8.554929370995676,10.569747943449643,13.312606831682746,17.876901214571866,23.18604846801077,4.50026288607335,5.001807417688911,5.590277684482477,7.843723979182891,10.978264113252802,16.769156274684047,24.819680209338983,0.7342308699262649,2.309333052046104,2.566371911538994,4.544535819382856,8.109321871169652,14.53467135117435,25.668449886869087,0.7278301463225769,2.2754868946576488,2.3374848841372096,2.950093352999991,4.840443274030568,13.899339703724443,27.02128452525841,0.7374844815034164,2.2795377049340524,2.3451927180927634,2.8801735400800705,4.594658815997813,13.434582340840924,28.79392405108947,0.7304197368105446,2.3103380622120357,2.419721520041384,3.5120531891440763,5.900259981011749,15.069023802222247,27.13382297177149,0.7374778533506379,2.2785838902027007,2.3413100279994747,2.8391696467614436,4.477780071332382,13.38837632538689,29.437120970933947,0.7257815264031018,2.4062314959831776,2.724000581559453,5.1710426819985225,9.613540591471343,21.058139344267452,28.44583544912049,0.7388315191590555,2.289916189104008,2.3696255017547685,2.906577470619746,4.564880598192825,13.999930382768426,29.4836659424079
device7,26.272953516862337,26.348740266223945,26.437431201281935,26.539631596170203,26.74917428075438,26.874912474942416,25.81315830033331,23.891846886292953,25.024276128739228,26.280456504456268,30.253611887560655,33.10068771381067,31.208715656650238,32.00861566796363,16.33015964117917,18.013786500506253,19.894326318850567,26.732030193880977,33.650143867414364,36.116087231459574,29.92987209547702,1.616673923394305,7.387956297350545,10.324854480095123,18.968736562709633,28.98956414771196,39.560741734707804,30.582167341597113,1.5751037356084232,7.362220069936525,9.726699404959287,23.47089294163327,27.558829862408523,40.38372363553373,33.36625115673976,1.6632977149379244,7.469553826632705,9.922469849160105,24.878359472168842,26.779249360766176,34.1622197649743,34.593820391874495,1.5666675567468764,7.42920907293305,9.658911402372729,21.382380424990526,28.26489920313929,38.82865003390438,34.45104336546412,1.6624131245534253,7.451013411899874,9.810388691228274,24.01258256532102,27.17176921121374,35.315038401761,35.27579201152325,1.5225377786018517,7.620674041230228,12.16463406055727,23.22871766488925,32.06631233963533,38.07334156546898,34.44791910812001,1.6660705317974942,7.492141106812479,9.821569878331344,25.2644755704807,27.33536401733103,37.1007974180229,35.29938136999679
device9,37.605467605623794,37.65101167680163,37.704560293351435,37.903405677591124,38.1440908099544,39.3649988544968,42.634539126884306,18.355757501932484,19.02799113501035,19.763335226616793,22.151991344184644,24.969668530967503,30.05786815510736,38.75639577934374,13.700572130398152,15.186767229562935,16.83084955419386,22.15591511001422,27.345981763511276,29.726681678716396,43.43573861963603,1.3406896557652386,4.196077758177517,6.429902900164505,15.089525340179213,24.330884260599,33.0746347037532,43.749707154595676,11.181810173203163,19.001963666590818,20.16324768048694,23.08619314422637,26.892662450955175,34.161328475393525,38.85349010278406,12.13796707791752,22.542066275278337,24.827432306824928,23.85336188213092,26.267336344436927,33.75357343649519,42.161686170439694,3.6053803030090195,18.503827331808953,20.878132686529543,23.126933822969704,28.227796816629624,35.89589410721158,39.38158790376515,12.141835752664681,23.030113269553038,24.232352231388745,23.380847613650094,28.635152735669806,33.17031069276946,43.068269580999214,3.564969358672988,16.94611828779401,19.875182812274506,25.152971455856857,28.436947286888582,33.84515022807643,40.40430244659169,13.027362476072458,23.21118931985802,24.359969696470706,27.34269540418359,30.628031464996823,33.85833260704828,45.189384229001455
device10,23.84397972016029,23.874521731494383,23.897112223277784,23.87572861361018,24.346357142790335,25.058491378199044,24.623699293660863,28.198094323882927,29.20677163477581,30.133469736066264,31.5271975046497,32.58406014223694,34.55640600432938,35.640092571588326,26.99723991492384,28.634254015144737,30.04344150431365,31.662114251788196,31.11244235434858,34.88103258634876,35.712166036201246,4.219322685432085,11.62012002643143,19.523794728708737,33.97099377833603,32.113385702912986,33.66575061285893,35.68326613184394,4.1958987818622475,8.767474203767797,14.285866801127089,32.61080587387528,33.76551903271845,34.484632952310946,29.29491934656737,4.264790370298409,10.232920346168543,17.009766467100373,35.92747725066333,30.38341011472158,29.29555523746332,22.930979291754326,4.517600615972729,9.036345520670286,12.75257374226784,30.52115605680246,33.847217382199844,33.45151809790107,30.123615692158364,4.254864480414719,9.60283808588786,16.013709536056833,33.57490688425411,30.638159613036144,28.077986224410626,15.18146096056579,3.833953138445867,12.659995660145029,10.943252682569588,29.28927285359445,31.50556243353053,30.506990835199343,30.555626563102003,4.265089749327374,9.107578336291864,14.76070995970929,31.454596719910004,27.08836030278509,24.752492155385628,13.91393909232366
device11,12.68876778587774,12.726265006412357,12.777677936759657,12.997424979067414,13.4477309740686,13.632581044767731,16.040889664296373,8.53693462560994,8.92841327541263,9.359343849979597,10.689972460820913,11.976802175812859,11.824527396575576,17.99849537404537,6.974168100915145,7.597519609309286,8.249249109139662,9.879897991827697,11.13704278743486,11.132579966567,16.52948681051349,0.9069356564091791,3.4765834544438574,5.540094682971261,9.133709516700717,10.940795885324391,10.779461840400602,16.15305118247676,0.9109572527929201,3.642797182403226,5.861043767330158,11.227780907092784,16.959612507834763,20.65912508775349,25.033273143036446,0.9290697480399871,3.6069644800347747,5.8541486296596545,11.086444256889306,16.378033231577536,19.500018084823385,19.215223117351144,0.9141428456531203,3.685811129387625,5.821751114024487,11.590679165697749,17.887888307664195,23.3008419183741,27.36825609239782,0.9321269160662072,3.6102468644689427,5.847640665530341,11.111179624065556,16.562599761950853,20.122392255417125,22.320637800033833,0.9394716909754537,4.186301531367403,6.200515404348326,13.134874295680772,20.84577840357304,21.996037794319385,25.304687477129065,0.9404365209982742,3.6491982725047696,5.891369867029847,11.400773229675808,17.29373278358373,23.00916892945621,27.474149463550166
