,AutoARIMAExog
device1,2070.8792338371277
device10,604.4400792121887
device11,654.5643939971924
device3,5144.344130754471
device4,3328.2219326496124
device5,3266.977109670639
device6,966.8292691707611
device7,2746.800951719284
device9,982.6251955032349
