TSTAMP,DEVICE_ID,Tank3PMovAvg,TempF,Forecast_1P,Forecast_6P,Forecast_12P,Forecast_36P,Forecast_72P,Forecast_144P,Forecast_288P
2020-03-20 13:08:14.393,1,2.799999999999913,24.3,4.912337827787338,,,,,,
2020-03-20 13:13:19.393,1,2.6999999999999127,24.0,4.855393383342894,,,,,,
2020-03-20 13:18:23.393,1,2.6999999999999127,23.6,4.795671161120671,,,,,,
2020-03-20 13:23:27.397,1,2.6999999999999127,23.4,4.734560050009559,,,,,,
2020-03-20 13:28:56.433,1,2.799999999999913,23.7,4.674837827787338,,,,,,
2020-03-20 13:34:00.433,1,2.899999999999913,24.6,4.615115605565116,4.912337827787338,,,,,
2020-03-20 13:39:04.433,1,2.8333333333332464,25.2,4.560948938898449,4.855393383342894,,,,,
2020-03-20 13:44:08.437,1,3.033333333333246,24.5,4.5058563463058565,4.795671161120671,,,,,
2020-03-20 13:49:37.473,1,3.081355878654524,24.3,4.457708198157708,4.734560050009559,,,,,
2020-03-20 13:54:41.473,1,3.34802254532119,24.0,4.4095621474731725,4.674837827787338,,,,,
2020-03-20 13:59:45.473,1,3.0480225453211895,23.6,4.367897578270119,4.615115605565116,,,,,
2020-03-20 14:04:49.477,1,2.7999999999999123,23.6,4.3248441201781755,4.560948938898449,4.912337827787338,,,,
2020-03-20 14:10:19.513,1,2.6999999999999127,24.4,4.2831774535115095,4.5058563463058565,4.855393383342894,,,,
2020-03-20 14:15:23.513,1,2.799999999999913,25.1,4.2415107868448425,4.457708198157708,4.795671161120671,,,,
2020-03-20 14:20:27.513,1,2.799999999999913,24.0,4.201233009067065,4.4095621474731725,4.734560050009559,,,,
2020-03-20 14:25:31.517,1,2.799999999999913,23.6,4.1581774535115095,4.367897578270119,4.674837827787338,,,,
2020-03-20 14:31:17.553,1,2.739612049528238,24.1,4.113733009067065,4.3248441201781755,4.615115605565116,,,,
2020-03-20 14:36:21.553,1,2.7261719977047107,24.8,4.068449843088292,4.2831774535115095,4.560948938898449,,,,
2020-03-20 14:41:26.553,1,2.5595053310380447,24.6,4.022980009723081,4.2415107868448425,4.5058563463058565,,,,
2020-03-20 14:46:30.557,1,2.71989328150972,25.2,3.9779731393208326,4.201233009067065,4.457708198157708,,,,
2020-03-20 14:51:58.593,1,2.9333333333332474,24.6,3.935193879341802,4.1581774535115095,4.4095621474731725,,,,
2020-03-20 14:57:02.593,1,3.0999999999999135,24.8,3.898156842304765,4.113733009067065,4.367897578270119,,,,
2020-03-20 15:02:06.593,1,2.8333333333332473,24.4,3.8634346200825433,4.068449843088292,4.3248441201781755,,,,
2020-03-20 15:07:10.597,1,2.7413706559671467,24.6,3.826397583045506,4.022980009723081,4.2831774535115095,,,,
