,lstm
device1,42.713510274887085
device10,26.326584815979004
device11,25.780290126800537
device3,63.64437961578369
device4,44.04948306083679
device5,50.67644143104553
device6,43.767539978027344
device7,48.02302312850952
device9,30.887973070144653
