,AutoARIMA
device1,1444.135816335678
device10,619.3647112846375
device11,410.73636507987976
device3,5468.715940713882
device4,3633.667466878891
device5,2771.5934574604034
device6,822.8013117313385
device7,2886.881711959839
device9,756.278222322464
