TSTAMP,DEVICE_ID,Tank3PMovAvg,TempF,Forecast_1P,Forecast_6P,Forecast_12P,Forecast_36P,Forecast_72P,Forecast_144P,Forecast_288P
2020-03-30 06:24:40.307,5,11.666666666666314,36.0,11.733333333332984,12.333333333332986,13.133333333332972,15.333338267624416,14.766658772473669,29.46666666666628,35.202177558740395
2020-03-30 06:30:33.337,5,11.866666666666315,36.0,11.666666666666314,12.19999999999965,13.133333333332983,12.86667160095775,9.966658772473643,26.266666666666335,35.15181456077627
2020-03-30 06:35:37.337,5,11.99999999999965,36.1,11.866666666666315,12.266666666666321,13.199999999999648,10.8000049342911,6.699999999999648,23.933333333332968,35.180941017012685
2020-03-30 06:40:41.340,5,12.221265717414852,36.1,11.99999999999965,12.066666666666315,13.133333333332992,9.266666666666307,6.699999999999648,20.066666666666336,35.28955608937867
2020-03-30 06:45:45.340,5,12.263796942383802,36.1,12.269254448095163,11.799999999999649,13.066666666666325,9.79999999999963,7.633333333332956,24.399999999999658,51.2590423029701
2020-03-30 06:51:30.367,5,12.330463609050467,36.1,12.34109643278116,11.733333333332984,12.666666666666323,9.399999999999645,13.080901884046682,27.799999999999642,56.39477848431134
2020-03-30 06:56:34.367,5,12.475864558301936,36.0,12.429985321670047,11.666666666666314,12.73333333333299,9.399999999999642,17.04756855071338,29.533333333332948,67.25036167278282
2020-03-30 07:01:38.367,5,12.66666666666632,36.0,12.61073087357454,11.866666666666315,12.466666666666317,9.266666666666307,20.080901884046703,26.199999999999626,76.71290108271938
2020-03-30 07:06:42.367,5,12.76666666666632,36.0,12.799999999999654,11.99999999999965,12.533333333332992,9.333333333332977,21.86666666666633,26.26666666666625,75.31483118337161
2020-03-30 07:12:24.400,5,12.666666666666314,36.0,12.894444444444098,12.509198101496722,12.199999999999648,11.59999999999967,20.999999999999655,24.733333333332922,71.7346410431372
2020-03-30 07:17:28.403,5,12.599999999999651,36.1,12.740900158208225,12.727593884767956,11.799999999999649,13.599999999999664,20.266666666666335,21.733333333332936,62.6359786832929
2020-03-30 07:22:32.403,5,12.59999999999965,36.1,12.656033842935626,12.92759388476795,11.733333333332984,15.466666666666303,15.109936722417766,20.266674890485366,56.135552756808266
2020-03-30 07:27:36.403,5,12.59999999999965,36.1,12.644922731824513,13.285062449937557,11.666666666666314,15.466666666666324,9.843270055751086,20.400008223818787,44.53467097348797
2020-03-30 07:33:23.457,5,12.59999999999965,36.1,12.620689240282601,13.466666666666324,11.866666666666315,16.73333333333302,7.599999999999646,26.933341557152055,35.89999999999961
2020-03-30 07:38:27.457,5,12.59999999999965,36.1,12.59999999999965,13.533333333332989,11.99999999999965,17.733333333332972,7.599999999999646,30.333333333333037,35.89999999999961
2020-03-30 07:43:31.460,5,12.533333333332985,36.1,12.59999999999965,13.112067615917777,12.797130485578592,17.999999999999677,7.6666666666663135,30.399999999999615,35.833333333332945
2020-03-30 07:48:35.460,5,12.433333333332982,36.1,12.533333333332985,12.9362030576155,13.191390827152109,15.133333333332997,7.733333333332982,25.599999999999632,42.56666666666728
2020-03-30 07:54:45.460,5,12.49999999999965,36.1,12.433333333332982,12.869536390948833,13.524724160485432,13.066666666666313,7.799999999999659,22.004317844789522,52.43333333333409
2020-03-30 07:59:49.463,5,12.866666666666315,36.1,12.49999999999965,12.724135441697364,14.094260341573179,13.533333333333003,10.33334188610484,22.77316513009591,75.23333333333417
2020-03-30 08:04:53.463,5,13.299999999999649,36.1,12.91111111111076,12.59999999999965,14.266666666666328,14.533333333332978,15.400008552771498,27.906498463429358,84.9000000000003
