TSTAMP,DEVICE_ID,Tank3PMovAvg,TempF,Forecast_1P,Forecast_6P,Forecast_12P,Forecast_36P,Forecast_72P,Forecast_144P,Forecast_288P
2020-03-20 13:08:14.393,1,2.799999999999913,24.3,2.711948879418209,,,,,,
2020-03-20 13:13:19.393,1,2.6999999999999127,24.0,2.512033941896416,,,,,,
2020-03-20 13:18:23.393,1,2.6999999999999127,23.6,2.555970973778181,,,,,,
2020-03-20 13:23:27.397,1,2.6999999999999127,23.4,2.6999775908899752,,,,,,
2020-03-20 13:28:56.433,1,2.799999999999913,23.7,2.7000115164958216,,,,,,
2020-03-20 13:34:00.433,1,2.899999999999913,24.6,2.9439612062268377,2.3676752403667662,,,,,
2020-03-20 13:39:04.433,1,2.8333333333332464,25.2,3.044006629280523,2.1678418935903183,,,,,
2020-03-20 13:44:08.437,1,3.033333333333246,24.5,2.737393122714975,2.3838295295531435,,,,,
2020-03-20 13:49:37.473,1,3.081355878654524,24.3,3.321213938662331,2.6999603708554725,,,,,
2020-03-20 13:54:41.473,1,3.34802254532119,24.0,3.1505882337322944,2.7000252833342886,,,,,
2020-03-20 13:59:45.473,1,3.0480225453211895,23.6,3.7319178937081827,3.116040710120847,,,,,
2020-03-20 14:04:49.477,1,2.7999999999999123,23.6,2.6162545454655337,3.216130866410692,2.243867075159187,,,,
2020-03-20 14:10:19.513,1,2.6999999999999127,24.4,2.4427767960596443,2.622704441321231,2.044063070160131,,,,
2020-03-20 14:15:23.513,1,2.799999999999913,25.1,2.5559606230210368,3.665329348457986,2.32192378380855,,,,
2020-03-20 14:20:27.513,1,2.799999999999913,24.0,2.943944330210529,3.2333238314461448,2.6999541781626983,,,,
2020-03-20 14:25:31.517,1,2.799999999999913,23.6,2.800056947524371,4.19079053890129,2.7000302341838975,,,,
2020-03-20 14:31:17.553,1,2.739612049528238,24.1,2.7999884992593964,2.100128733023067,3.177924180797393,,,,
2020-03-20 14:36:21.553,1,2.7261719977047107,24.8,2.6526768229583197,2.0158099444258073,3.2780304241158817,,,,
2020-03-20 14:41:26.553,1,2.5595053310380447,24.6,2.706796105045998,2.3838114061832028,2.5814599381040844,,,,
2020-03-20 14:46:30.557,1,2.71989328150972,25.2,2.319570837341607,3.1160132290766156,3.789080611040388,,,,
